编号,方向,处理结论,支持程度,理由,构题方法,验证方法,下一动作,具体来源
Q01,局部结构参数,合并,直接实例依据,与 C01 是同一几何测量模板；使用量化数据不自动成为电子结构题。,归并到 C01，以学科上下文标签保留交叉入口。,复用距离角度计算；不重复计任务种类。,保留编号作为历史入口，后续新增电子结构问题再单独定义。,https://www.nature.com/articles/s41524-025-01878-x
Q02,力与位移,保留待补,数据字段支持,局部力响应可测，但不能把 DFTB 优化参考结构当成 PBE0 严格驻点。,配对参考与位移结构，给出同坐标系的目标原子力。,计算 F·Δr；零值单列；限制为局部分量。,取得配对数据、坐标系和单位，增加力方向验证器。,https://www.nature.com/articles/s41597-021-00812-2
Q03,极小点与鞍点,保留待补,论文方法支持,驻点判别有明确物理含义，但力和 Hessian 必须匹配理论级别及约束。,先选具有梯度与振动数据的结构，再提出驻点判断。,检查梯度残差、非刚体模式特征值、零模及约束。,核实可取得的频率／Hessian，不能从 min/ts 文件名给答案。,https://www.nature.com/articles/s41597-022-01390-7 | https://www.nature.com/articles/s41524-025-01878-x
Q04,几何与偶极矩,改写,数据字段支持,原问法“支持指定判断”过宽；性质差异不是通用因果定律。,限定同分子成对构象，问在给定条件下偶极大小或方向的变化。,统一对齐参考系，分别评分数值和限定性解释。,先固定明确问题；MolVision 仅作性质问答形式对照。,https://www.nature.com/articles/s41597-021-00812-2 | https://chemvision.github.io/chemvision/
Q05,模式位移构造,改写,论文方法支持,按模式平移坐标是受限操作，应标为几何操作子类，不能独立代表科学设计。,保留原三能力框架，在 Design 下明确“基础结构操作”。,复算归一化模式、幅度、原子映射和变换；不评分虚构性质改善。,需取得真实模式；可参考 AtomWorld 的程序目标构建方式。,https://www.nature.com/articles/s41597-021-00812-2 | https://arxiv.org/html/2510.04704v1
Q06,性质约束设计,暂缓,论文动机支持,方向有研究依据，但开放结构输出需要可靠量化重算和预算。,固定组成、目标性质及容差后再提出设计任务。,有效性和同级别性质达标分别评分；不设唯一标准构象。,先落实量化计算器、预算和失败处理，当前暂缓实例化。,https://www.nature.com/articles/s41467-024-50401-1
C01,距离与夹角,优先开展,直接实例依据,已有本地 L02 来源核验，可作为校准题并吸收 Q01。,真实坐标 + 固定原子索引 → 程序计算答案 → 模板填题。,已有距离／角度验证；L02 来源链通过，绝对单位审查仍影响距离。,先纳入角度校准包；仍需独立审核和模型试答。,https://www.nature.com/articles/s41524-025-01878-x
C02,手性辨认,优先开展,方法与数据入口支持,三维手性辨认比泛化学知识更具体；可从结构资源选例。,选择明确四面体中心，提供拓扑、坐标及原子编号。,锁定 CIP 约定和 RDKit 版本，使用镜像与旋转对照验证。,优先选一个公开结构，核实坐标而非文件中已有标签决定答案。,https://rdkit.org/docs/RDKit_Book.html | https://www.rcsb.org/ | https://arxiv.org/abs/2505.15054
C03,最相近构象对,保留待补,数据与方法支持,构象比较方向保留；G01 的数据阻塞不影响其他方向。,同分子至少三个真实构象，固定重原子对应。,已有本地 RMSD 评分器；核实对称原子、镜像和并列约定。,GEOM 构象仍未取得；评分器测试不能计作完成实例。,https://raw.githubusercontent.com/learningmatter-mit/geom/master/tutorials/01_loading_data.ipynb | https://rdkit.org/docs/RDKit_Book.html
C04,环平面程度,改写,论文动机支持,原论文采用局部平面二面角；我们的整体平面残差是另一指标。,优先改成原文指标；若保留残差，显式标注为自定义扩展。,按所选定义复算；不套用原文的阈值到新指标。,锁定一种指标后再选真实环结构。,https://www.nature.com/articles/s41597-022-01390-7
